CD_MICRO;NM_MICRO;SIGLA_UF;2013;2014;2015;2016;2017;2018
27002;Alagoana do Sertão do São Francisco;AL;-0,00368;-0,00297;-0,0039;-0,00466;-0,00226;-0,00312
27003;Santana do Ipanema;AL;-0,01136;-0,01048;-0,01137;-0,01108;-0,00983;-0,01037
27004;Batalha;AL;-0,01026;-0,00989;-0,00965;-0,00864;-0,0083;-0,00956
27005;Palmeira dos Índios;AL;-0,01297;-0,01217;-0,01424;-0,0127;-0,01174;-0,01338
27006;Arapiraca;AL;-0,00356;-0,00354;-0,00451;-0,00477;-0,00197;-0,00347
27007;Traipu;AL;-0,00935;-0,00725;-0,00452;-0,00677;-0,00721;-0,00533
27008;Serrana dos Quilombos;AL;-0,01251;-0,01226;-0,0131;-0,01221;-0,01111;-0,01261
27009;Mata Alagoana;AL;-0,00942;-0,00883;-0,00823;-0,00815;-0,00713;-0,00743
27010;Litoral Norte Alagoano;AL;-0,00104;-0,00004;0,00152;0,00086;0,00047;0
27011;Maceió;AL;0,00224;0,00194;0,00212;0,0014;0,00258;0,00148
27012;São Miguel dos Campos;AL;-0,00099;-0,00152;-0,00112;-0,00067;0,00073;0,00026
27013;Penedo;AL;-0,00953;-0,0098;-0,00984;-0,00866;-0,00805;-0,00886
28001;Sergipana do Sertão do São Francisco;SE;0,00046;-0,00074;-0,00004;-0,0001;0,00033;-0,00014
28002;Carira;SE;-0,00114;-0,00153;-0,00219;-0,00102;0,00176;-0,00078
28003;Nossa Senhora das Dores;SE;-0,00372;-0,00439;-0,00389;-0,00469;-0,00251;-0,00421
28004;Agreste de Itabaiana;SE;-0,00299;-0,00213;-0,00294;-0,0022;-0,00049;-0,00214
28005;Tobias Barreto;SE;-0,00292;-0,00283;-0,00326;-0,00264;-0,00249;-0,00362
28006;Agreste de Lagarto;SE;-0,00139;-0,00189;-0,00181;-0,00196;-0,00129;-0,00307
28007;Propriá;SE;-0,0081;-0,00996;-0,00994;-0,00958;-0,01084;-0,01036
28008;Cotinguiba;SE;-0,00068;-0,00044;-0,00083;0,00045;0,00165;0,00057
28009;Japaratuba;SE;-0,00176;-0,00283;-0,00429;-0,00354;-0,00188;-0,00331
28010;Baixo Cotinguiba;SE;-0,00003;0,00058;0,00007;0,00125;0,00201;0,0008
28011;Aracaju;SE;0,00688;0,00665;0,00645;0,00605;0,00729;0,00666
28012;Boquim;SE;-0,00643;-0,00586;-0,00608;-0,00502;-0,00501;-0,00603
28013;Estância;SE;-0,00386;-0,00336;-0,00379;-0,00308;-0,00291;-0,00459
29001;Barreiras;BA;0,01705;0,01654;0,01575;0,01687;0,01745;0,01692
29002;Cotegipe;BA;-0,0099;-0,00869;-0,00754;-0,00772;-0,00858;-0,00813
29003;Santa Maria da Vitória;BA;-0,01386;-0,01372;-0,01448;-0,01416;-0,01285;-0,01381
29004;Juazeiro;BA;-0,00538;-0,00523;-0,0051;-0,00669;-0,00534;-0,00701
29005;Paulo Afonso;BA;-0,00388;-0,00275;-0,00364;-0,00408;-0,00249;-0,00277
29006;Barra;BA;-0,0089;-0,00767;-0,00847;-0,00906;-0,00864;-0,00808
29007;Bom Jesus da Lapa;BA;-0,00793;-0,00848;-0,00874;-0,00765;-0,00811;-0,00811
29008;Senhor do Bonfim;BA;-0,0071;-0,00657;-0,00676;-0,00634;-0,00638;-0,00736
29009;Irecê;BA;-0,00736;-0,00612;-0,00675;-0,00677;-0,0063;-0,00684
29010;Jacobina;BA;-0,00933;-0,00833;-0,00821;-0,00952;-0,00898;-0,01011
29011;Itaberaba;BA;-0,01028;-0,00998;-0,01053;-0,01019;-0,0102;-0,0106
29012;Feira de Santana;BA;-0,00235;-0,00171;-0,00199;-0,00226;-0,00223;-0,00224
29013;Jeremoabo;BA;-0,01895;-0,01689;-0,01767;-0,01557;-0,01497;-0,01645
29014;Euclides da Cunha;BA;-0,01039;-0,00941;-0,01035;-0,01014;-0,01041;-0,01104
29015;Ribeira do Pombal;BA;-0,00547;-0,00461;-0,00569;-0,00315;-0,00433;-0,00508
29016;Serrinha;BA;-0,00527;-0,00513;-0,00543;-0,0048;-0,00499;-0,00547
29017;Alagoinhas;BA;-0,00271;-0,00216;-0,00224;-0,0037;-0,00272;-0,00285
29018;Entre Rios;BA;-0,00245;-0,0017;-0,00051;-0,00147;-0,00125;-0,00131
29019;Catu;BA;-0,00088;-0,00035;0,00041;0,00101;0,00048;0,00077
29020;Santo Antônio de Jesus;BA;-0,00364;-0,00351;-0,00312;-0,00361;-0,0039;-0,00391
29021;Salvador;BA;0,00215;0,00211;0,00213;0,00211;0,00227;0,00235
29022;Boquira;BA;-0,00503;-0,00513;-0,00559;-0,00434;-0,00499;-0,00545
29023;Seabra;BA;-0,01177;-0,01183;-0,01033;-0,01146;-0,01071;-0,01187
29024;Jequié;BA;-0,01227;-0,01243;-0,01175;-0,01213;-0,0114;-0,01163
29025;Livramento do Brumado;BA;-0,00386;-0,00306;-0,00427;-0,00332;-0,00357;-0,00461
29026;Guanambi;BA;-0,00686;-0,00678;-0,00714;-0,0074;-0,00649;-0,0069
29027;Brumado;BA;-0,01823;-0,01799;-0,01866;-0,01725;-0,01787;-0,01694
29028;Vitória da Conquista;BA;-0,00781;-0,00737;-0,00805;-0,00808;-0,0079;-0,00832
29029;Itapetinga;BA;-0,0143;-0,01327;-0,0114;-0,01295;-0,01038;-0,01023
29030;Valença;BA;-0,00286;-0,00186;-0,00182;-0,00338;-0,00294;-0,00389
29031;Ilhéus-Itabuna;BA;-0,01819;-0,01771;-0,01709;-0,01719;-0,01614;-0,01742
29032;Porto Seguro;BA;-0,00006;0,00079;0,00031;0,00021;0,00121;0,00107
31001;Unaí;MG;-0,00395;-0,00437;-0,0046;-0,00379;-0,00324;-0,00535
31002;Paracatu;MG;-0,00119;-0,00108;-0,00193;-0,0029;-0,00196;-0,00281
31003;Januária;MG;-0,00496;-0,00567;-0,00626;-0,0049;-0,00508;-0,00528
31004;Janaúba;MG;-0,00684;-0,00748;-0,00865;-0,00787;-0,00731;-0,00745
31005;Salinas;MG;-0,00512;-0,00504;-0,00575;-0,00577;-0,00485;-0,00498
31006;Pirapora;MG;-0,00464;-0,00467;-0,00566;-0,00545;-0,00307;-0,00516
31007;Montes Claros;MG;-0,00124;-0,00117;-0,002;-0,00202;-0,0012;-0,00254
31008;Grão Mogol;MG;-0,00548;-0,00698;-0,00673;-0,0057;-0,00329;-0,00534
31009;Bocaiúva;MG;-0,00365;-0,00342;-0,0036;-0,00258;-0,00323;-0,0031
31010;Diamantina;MG;-0,00911;-0,00924;-0,01076;-0,01026;-0,01072;-0,01196
31011;Capelinha;MG;-0,00566;-0,00597;-0,00572;-0,00504;-0,00553;-0,00621
31012;Araçuaí;MG;-0,00573;-0,00635;-0,00731;-0,00617;-0,00694;-0,00727
31013;Pedra Azul;MG;-0,01196;-0,0125;-0,01242;-0,01279;-0,01044;-0,01066
31014;Almenara;MG;-0,00565;-0,005;-0,0053;-0,00487;-0,00542;-0,00547
31015;Teófilo Otoni;MG;-0,00729;-0,00762;-0,00799;-0,00807;-0,00733;-0,0084
31016;Nanuque;MG;-0,01045;-0,01087;-0,01183;-0,01066;-0,01019;-0,01027
31017;Ituiutaba;MG;-0,00075;-0,00072;-0,00132;-0,00107;-0,00202;-0,00197
31018;Uberlândia;MG;0,00373;0,00347;0,00301;0,00254;0,00294;0,00223
31019;Patrocínio;MG;-0,00299;-0,00399;-0,00354;-0,00372;-0,0038;-0,00412
31020;Patos de Minas;MG;-0,00059;-0,00107;-0,00173;-0,003;-0,00216;-0,00296
31021;Frutal;MG;0,00625;0,00657;0,00627;0,00611;0,00717;0,0063
31022;Uberaba;MG;0,00749;0,00741;0,00625;0,00606;0,00716;0,0067
31023;Araxá;MG;0,00618;0,00628;0,00588;0,00418;0,00452;0,0047
31024;Três Marias;MG;-0,00008;-0,00056;-0,0012;-0,00079;-0,00024;-0,00047
31025;Curvelo;MG;-0,00404;-0,00386;-0,00546;-0,00418;-0,0037;-0,00425
31026;Bom Despacho;MG;0,00109;0,00265;0,00202;0,00128;0,00071;0,00095
31027;Sete Lagoas;MG;0,00248;0,00195;0,00129;0,00132;0,00275;0,00207
31028;Conceição do Mato Dentro;MG;-0,01431;-0,01476;-0,01607;-0,01549;-0,01471;-0,01552
31029;Pará de Minas;MG;0,00452;0,00388;0,00289;0,0023;0,00373;0,00309
31030;Belo Horizonte;MG;-0,00041;-0,00057;-0,00098;-0,00118;-0,00028;-0,0007
31031;Itabira;MG;-0,00279;-0,0033;-0,00401;-0,00414;-0,00323;-0,0032
31032;Itaguara;MG;-0,00164;-0,00093;-0,00206;-0,00397;-0,00175;-0,00238
31033;Ouro Preto;MG;-0,00078;-0,00071;-0,00139;-0,0018;-0,00088;-0,00073
31034;Conselheiro Lafaiete;MG;0,00076;0,00092;-0,00014;-0,00017;0,00014;0,0003
31035;Guanhães;MG;-0,00769;-0,00769;-0,00738;-0,00793;-0,00806;-0,00831
