CD_MICRO;NM_MICRO;SIGLA_UF;2013;2014;2015;2016;2017;2018
35059;Guarulhos;SP;-1840;-1902;-2401;-3341;-1857;-2626
35060;Itapecerica da Serra;SP;3874;3979;3814;3716;4968;4238
35061;São Paulo;SP;-73190;-70988;-78162;-81811;-72679;-81489
35062;Mogi das Cruzes;SP;989;1488;711;-459;772;265
35063;Santos;SP;935;1687;1104;1376;2752;2162
41001;Paranavaí;PR;-1462;-1430;-1778;-1789;-1608;-1863
41002;Umuarama;PR;-1637;-1723;-2019;-2027;-1846;-2157
41003;Cianorte;PR;302;288;268;168;347;177
41004;Goioerê;PR;-2056;-2135;-2121;-2151;-2096;-2198
41005;Campo Mourão;PR;-2018;-2095;-2227;-2140;-2039;-2356
41006;Astorga;PR;-438;-636;-672;-958;-741;-923
41007;Porecatu;PR;-733;-671;-794;-815;-824;-814
41008;Floraí;PR;-174;-216;-220;-162;-207;-237
41009;Maringá;PR;4108;3881;3651;3197;3540;3094
41010;Apucarana;PR;1031;775;467;590;804;539
41011;Londrina;PR;1491;1040;968;697;1035;438
41012;Faxinal;PR;-489;-542;-608;-566;-510;-593
41013;Ivaiporã;PR;-2287;-2205;-2387;-2270;-2223;-2296
41014;Assaí;PR;-930;-856;-1001;-934;-831;-921
41015;Cornélio Procópio;PR;-2064;-2144;-2201;-2135;-2142;-2239
